 0   0   0   0 
 1   0   0   1 
 2   0   1   0 
 3   1   0   0 
 4   0   0   2 
 5   0   1   1 
 6   0   2   0 
 7   1   0   1 
 8   1   1   0 
 9   2   0   0 
 10   0   0   3 
 11   0   1   2 
 12   0   2   1 
 13   0   3   0 
 14   1   0   2 
 15   1   1   1 
 16   1   2   0 
 17   2   0   1 
 18   2   1   0 
 19   3   0   0 
 20   0   0   4 
 21   0   1   3 
 22   0   2   2 
 23   0   3   1 
 24   0   4   0 
 25   1   0   3 
 26   1   1   2 
 27   1   2   1 
 28   1   3   0 
 29   2   0   2 
 30   2   1   1 
 31   2   2   0 
 32   3   0   1 
 33   3   1   0 
 34   4   0   0 
 35   0   0   5 
 36   0   1   4 
 37   0   2   3 
 38   0   3   2 
 39   0   4   1 
 40   0   5   0 
 41   1   0   4 
 42   1   1   3 
 43   1   2   2 
 44   1   3   1 
 45   1   4   0 
 46   2   0   3 
 47   2   1   2 
 48   2   2   1 
 49   2   3   0 
 50   3   0   2 
 51   3   1   1 
 52   3   2   0 
 53   4   0   1 
 54   4   1   0 
 55   5   0   0 
